Delta_Hartree_Fock(0)= 3.60281110332e-32  Temps calcul : 46.2997528592
Delta_Hartree_Fock(1)= 3.55019118939e-32  Temps calcul : 45.7733437738
Delta_Hartree_Fock(2)= 3.61224162564e-32  Temps calcul : 41.9033760231
Delta_Hartree_Fock(3)= 3.59701985037e-32  Temps calcul : 44.1954991205
Delta_Hartree_Fock(4)= 3.62592444782e-32  Temps calcul : 44.0451529138
Delta_Hartree_Fock(5)= 3.59889663634e-32  Temps calcul : 42.7141060999
Delta_Hartree_Fock(6)= 3.63973832331e-32  Temps calcul : 43.0432314678
Delta_Hartree_Fock(7)= 3.59762069321e-32  Temps calcul : 42.7523306033
Delta_Hartree_Fock(8)= 3.55361939147e-32  Temps calcul : 42.7873190546
Delta_Hartree_Fock(9)= 3.6417382705e-32  Temps calcul : 42.8552953951
Delta_Hartree_Fock(10)= 3.60327517978e-32  Temps calcul : 43.2363134921
Delta_Hartree_Fock(11)= 3.57972494405e-32  Temps calcul : 43.0518666423
Delta_Hartree_Fock(12)= 3.6014269412e-32  Temps calcul : 42.4941319558
Delta_Hartree_Fock(13)= 3.68501965445e-32  Temps calcul : 42.2977099596
Delta_Hartree_Fock(14)= 3.63649146426e-32  Temps calcul : 41.9255737931
Delta_Hartree_Fock(15)= 3.63173828205e-32  Temps calcul : 42.2312949811
Delta_Hartree_Fock(16)= 3.54099254222e-32  Temps calcul : 42.8274235217
Delta_Hartree_Fock(17)= 3.6234044829e-32  Temps calcul : 42.1986128639
Delta_Hartree_Fock(18)= 3.55395386409e-32  Temps calcul : 42.2730878233
Delta_Hartree_Fock(19)= 3.58176992951e-32  Temps calcul : 41.5614107939
Delta_Hartree_Fock(20)= 3.60380885052e-32  Temps calcul : 41.6211047738
Delta_Hartree_Fock(21)= 3.59520786412e-32  Temps calcul : 41.7219201802
Delta_Hartree_Fock(22)= 3.57369321035e-32  Temps calcul : 41.535926081
Delta_Hartree_Fock(23)= 3.57691367534e-32  Temps calcul : 41.6251901453
Delta_Hartree_Fock(24)= 3.67928511869e-32  Temps calcul : 41.8872030322
Delta_Hartree_Fock(25)= 3.51744834855e-32  Temps calcul : 41.5851592346
Delta_Hartree_Fock(26)= 3.6271861654e-32  Temps calcul : 41.5584347549
Delta_Hartree_Fock(27)= 3.57841260418e-32  Temps calcul : 41.6740632148
Delta_Hartree_Fock(28)= 3.61758667408e-32  Temps calcul : 41.548904502
Delta_Hartree_Fock(29)= 3.6572455186e-32  Temps calcul : 41.5963038784
Delta_Hartree_Fock(30)= 3.57388433243e-32  Temps calcul : 41.5834888209
Delta_Hartree_Fock(31)= 3.62613440838e-32  Temps calcul : 41.5553282816
Delta_Hartree_Fock(32)= 3.61573699316e-32  Temps calcul : 41.5577714647
Delta_Hartree_Fock(33)= 3.59890979639e-32  Temps calcul : 41.5247087361
Delta_Hartree_Fock(34)= 3.58222362283e-32  Temps calcul : 41.3621307909
Delta_Hartree_Fock(35)= 3.66030994448e-32  Temps calcul : 41.2266711941
Delta_Hartree_Fock(36)= 3.59719923655e-32  Temps calcul : 41.1458246288
Delta_Hartree_Fock(37)= 3.58552724854e-32  Temps calcul : 41.1360591667
Delta_Hartree_Fock(38)= 3.63468695771e-32  Temps calcul : 41.5888545863
Delta_Hartree_Fock(39)= 3.57789241479e-32  Temps calcul : 41.5212832335
Delta_Hartree_Fock(40)= 3.59785757293e-32  Temps calcul : 41.7622953519
Delta_Hartree_Fock(41)= 3.60783304487e-32  Temps calcul : 41.533109129
Delta_Hartree_Fock(42)= 3.56226946172e-32  Temps calcul : 41.6518983742
Delta_Hartree_Fock(43)= 3.57397342136e-32  Temps calcul : 41.6006565333
Delta_Hartree_Fock(44)= 3.5715863686e-32  Temps calcul : 41.5642974534
Delta_Hartree_Fock(45)= 3.62686718128e-32  Temps calcul : 41.7424158902
Delta_Hartree_Fock(46)= 3.60529995578e-32  Temps calcul : 41.6084791667
Delta_Hartree_Fock(47)= 3.6723691042e-32  Temps calcul : 41.8003564918
Delta_Hartree_Fock(48)= 3.58204560777e-32  Temps calcul : 41.5172256594
Delta_Hartree_Fock(49)= 3.55269600216e-32  Temps calcul : 41.5906002669
